연도,시군구명,작동기기,미상(발화원인),불꽃/ 불티,담뱃불/ 라이터불,마찰/ 전도/ 복사
2017,강남구,185,35,39,150,80
2017,강서구,144,26,22,88,80
2017,강동구,113,24,14,71,32
2017,강북구,100,11,9,42,23
2017,관악구,111,37,14,68,51
2018,강남구,216,32,24,131,29
2018,강서구,231,24,17,89,19
2018,강동구,174,14,15,87,32
2018,강북구,123,14,7,46,7
2018,관악구,209,30,21,71,3
2019,강남구,202,20,20,158,52
2019,강서구,147,22,19,81,38
2019,강동구,132,17,8,73,24
2019,강북구,100,15,6,38,5
2019,관악구,187,34,12,60,16
2020,강남구,167,21,21,151,23
2020,강서구,78,15,18,63,27
2020,강동구,132,12,9,49,14
2020,강북구,120,17,5,35,8
2020,관악구,116,19,14,62,7
2021,강남구,180,30,13,146,19
2021,강서구,113,17,13,55,19
2021,강동구,111,19,13,59,6
2021,강북구,76,12,5,38,12
2021,관악구,166,27,9,53,2
